"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"209641_s_at",3.95359201606442,0.999016830641165,0.158166110418772,6.31625085801311,2.67984918782767e-10,9.26522595517893e-08
"209644_x_at",8.45348784292215,-0.369400789652265,0.105516617881188,-3.50087784341431,0.000463728352085561,0.0278194661630142
"209686_at",4.08881778202431,-0.734946639226643,0.162019937577114,-4.5361493790037,5.72906090034172e-06,0.000716841924844663
"209696_at",6.34235016504382,0.772106266189064,0.129778356544894,5.94942243641352,2.6909032020307e-09,7.46896188766466e-07
"209747_at",5.75075016112665,0.501918610090913,0.133797097043403,3.75134155510186,0.000175890893342399,0.0129580629349482
"209757_s_at",4.65785427934023,0.566044025975934,0.134125730045592,4.22024935695429,2.44032241172955e-05,0.00245364457999767
"209792_s_at",4.14496876518184,-1.1788408123754,0.175131763494086,-6.73116508882303,1.68309864842906e-11,6.83893300300854e-09
"209800_at",5.11351560677995,-0.610950501108453,0.137908619791392,-4.43011105493341,9.41845729960162e-06,0.00109182081178382
"209832_s_at",3.47997644887254,-0.577424296061166,0.167227997315245,-3.45291640952114,0.000554560820415574,0.0320233819039348
"209834_at",3.10865624531138,-0.772545100137794,0.18716607436723,-4.12759151331035,3.6658256170396e-05,0.00348997224323668
"209842_at",4.69172201445753,-1.11193135527258,0.155158613517169,-7.16641719120248,7.69859303371805e-13,3.94067981598654e-10
"209900_s_at",5.88472578016679,-0.451587209945963,0.129758924741453,-3.48020154178804,0.000501036720420856,0.0295626666147719
"210013_at",4.48891318554848,0.580838637237566,0.146420600407749,3.96691883259637,7.2807773929983e-05,0.00601602851504476
"210021_s_at",4.29732951882708,0.511387397491308,0.153719255122864,3.32676213583374,0.000878613376228641,0.0455653521193101
"210029_at",5.70598080648091,-0.432084513768327,0.129717255086159,-3.33097176224809,0.000865433808988,0.0451193229463664
"210056_at",4.35950930804921,0.70925516605566,0.149546912434595,4.74269347664302,2.10895250523196e-06,0.00030559652221034
"210073_at",5.19822775188553,-0.60027135933471,0.135879672769703,-4.41766856733668,9.97712536693245e-06,0.00114313493957057
"210130_s_at",6.70750087475606,0.549298479683869,0.12081028256135,4.54678582019641,5.44713798386779e-06,0.000690332786161302
"210145_at",4.01037617982991,-0.628281574902273,0.154951167549056,-4.05470694309783,5.01971943766926e-05,0.00449652777082492
"210147_at",5.01246990119036,-0.798143427860278,0.141879456420756,-5.62550384668318,1.84967284181888e-08,4.52813698058693e-06
"210319_x_at",4.97872285053767,0.510370569393032,0.147497412761253,3.46020014750458,0.000539774022499766,0.0314713806550381
"210347_s_at",5.80099920444072,-0.507448327509393,0.124237257937641,-4.08451004097418,4.41699165699618e-05,0.00405407980704001
"210567_s_at",3.93628803920932,-0.524959785724415,0.154460018507864,-3.39867747521787,0.000677125149986117,0.0374308704930614
"210663_s_at",5.19889560460113,0.540800197315067,0.126148384421645,4.28701643540253,1.8108889981749e-05,0.00190732226267548
"210683_at",2.95102329881889,-0.835061501412921,0.181319482691272,-4.60547035000512,4.115346218515e-06,0.000544302872001846
"210735_s_at",5.73984743834929,0.919911937747605,0.153390080647052,5.99720616787672,2.00741138712801e-09,5.73334147914952e-07
"210761_s_at",7.7163361529626,0.903473880747093,0.106406841907952,8.49074988550692,2.0530799745914e-17,1.92666890758442e-14
"210791_s_at",4.17910254710638,0.700763758422111,0.152185360190693,4.60467260151722,4.13115263846458e-06,0.000544566053820879
"210904_s_at",6.82093362606759,0.38508488603704,0.115786391359762,3.3258216403043,0.000881583213175629,0.0455993710815016
"210930_s_at",4.7539647915392,1.64517679078538,0.142644659993642,11.5333920727121,8.95446500047288e-31,7.60730567547629e-27
"211110_s_at",5.94244608017014,1.44800644554056,0.146401542272032,9.89065021494099,4.57049570804651e-23,1.05965598727615e-19
"211138_s_at",4.44983328371903,0.839338578320841,0.137337862049677,6.11148714414412,9.87069552248844e-10,2.9926430255643e-07
"211343_s_at",4.03268554136189,0.532653094852855,0.151186680405963,3.52314829204919,0.00042645268079099,0.0260741802222578
"211401_s_at",3.55948837309313,-0.620568413332715,0.174075614370818,-3.56493593646479,0.000363945073307325,0.0229145864526117
"211421_s_at",5.11997111903797,0.781334199601994,0.148363933285733,5.26633516851586,1.39174090967197e-07,2.61209886732433e-05
"211519_s_at",5.24844911294104,-0.437622301623762,0.128960809738595,-3.39345187511482,0.000690176843747036,0.0377814307214523
"211597_s_at",7.00168742189603,0.377070828874818,0.113367858361892,3.32608231577537,0.000880759137881152,0.0455993710815016
"211612_s_at",6.56738382350938,0.408482014993543,0.117754893890219,3.46891752434819,0.000522559847468483,0.0306035272334662
"211621_at",4.03841137288498,1.19825911756185,0.172130390329967,6.96134549666004,3.37038062001124e-12,1.45978221711124e-09
"211657_at",5.62677550361759,1.51615330490806,0.156639752879474,9.679237084054,3.69462642326272e-22,7.66421083402509e-19
"211682_x_at",2.97385440382666,1.66959653911634,0.239204326794647,6.9797923870736,2.95616588012803e-12,1.33924508045248e-09
"211708_s_at",5.58102290254957,0.442902714796226,0.127662360812222,3.46932887640773,0.00052176033225981,0.0306021752019169
"211726_s_at",5.81255590079509,-0.449599751175469,0.132919976247535,-3.38248443814182,0.000718333476076218,0.0388906533325111
"211767_at",3.09755482897192,-0.558047973666626,0.167416534467098,-3.33329067790671,0.000858252248885033,0.0448635996519293
"211828_s_at",4.20171158206323,0.741789493200581,0.150291996850982,4.93565531593862,7.98820794461944e-07,0.000127986678020012
"212173_at",4.52780845819479,-0.485436997067056,0.145117422201875,-3.34513244310362,0.000822432871501583,0.0432781965251848
"212218_s_at",8.45901144749481,0.355176577156449,0.106880055560501,3.32313241505937,0.000890126504552275,0.0459809253609743
"212256_at",7.00065455724391,0.699902228745479,0.122196981759467,5.72765561528492,1.01828016582594e-08,2.572724003581e-06
"212310_at",6.06579658946802,0.437488631430533,0.126400486571604,3.46113091251989,0.000537911162514347,0.0314417549252822
"212444_at",8.2285437063577,0.471557116460575,0.110689640383886,4.26017389545359,2.04267915013623e-05,0.00210209284656578
"212458_at",6.86569422890225,0.63166162826875,0.11866973703298,5.32285352661736,1.02151997239027e-07,2.0437658980604e-05
"212510_at",7.24266202692458,0.495947300022727,0.118824754600273,4.1737708753626,2.99599069227683e-05,0.00293741236680097
